               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.025315,             0.02492,           0.0018821,             0.34054,            0.050435,            0.080974,            0.018174,            0.069779,             0.12511,            0.067115,            0.007822,            0.007822,            0.007822
                  68,            0.024993,            0.024606,           0.0018488,            0.042154,             0.20633,              0.1096,            0.026445,            0.067914,             0.12669,            0.059738,            0.007789,            0.007789,            0.007789
                  69,             0.02525,            0.024546,           0.0018301,             0.18833,            0.093892,             0.12917,             0.02881,            0.069262,             0.12643,            0.065003,            0.007756,            0.007756,            0.007756
                  70,            0.025031,            0.024761,           0.0017863,             0.17232,            0.086621,             0.11929,            0.028227,            0.070633,             0.12295,            0.060775,            0.007723,            0.007723,            0.007723
                  71,            0.025072,            0.024749,           0.0017891,             0.51658,             0.10632,              0.1343,            0.027076,            0.069258,             0.12659,            0.065937,             0.00769,             0.00769,             0.00769
                  72,            0.025102,            0.024216,           0.0018133,             0.37662,            0.086563,             0.14751,            0.031538,            0.069564,              0.1227,            0.066824,            0.007657,            0.007657,            0.007657
                  73,              0.0246,            0.024035,           0.0018144,             0.33864,            0.076556,             0.10047,            0.020907,            0.070191,              0.1241,            0.064624,            0.007624,            0.007624,            0.007624
                  74,            0.024763,            0.024112,           0.0017893,             0.19665,             0.06146,             0.12096,            0.025926,            0.071316,             0.11989,            0.067985,            0.007591,            0.007591,            0.007591
                  75,            0.024618,            0.024005,           0.0017666,             0.15506,            0.057943,             0.07636,            0.012364,            0.070462,             0.12662,            0.067212,            0.007558,            0.007558,            0.007558
                  76,            0.024324,            0.023836,           0.0017894,               0.319,            0.033777,            0.033065,            0.007952,             0.07023,             0.12437,              0.0633,            0.007525,            0.007525,            0.007525
                  77,            0.024275,            0.023664,           0.0017584,             0.31815,            0.040984,            0.046973,            0.010991,             0.07002,             0.12642,            0.066427,            0.007492,            0.007492,            0.007492
                  78,            0.024214,            0.023703,           0.0017151,             0.52716,            0.079229,             0.13117,            0.028544,            0.070165,             0.12811,            0.068265,            0.007459,            0.007459,            0.007459
                  79,            0.024057,            0.023481,           0.0017663,             0.30456,             0.11173,            0.087032,              0.0186,            0.069688,             0.12478,            0.061171,            0.007426,            0.007426,            0.007426
                  80,            0.024173,            0.023556,           0.0017066,             0.27989,            0.095213,            0.085272,            0.023329,             0.06882,             0.12496,            0.063826,            0.007393,            0.007393,            0.007393
                  81,            0.023932,            0.023801,           0.0016773,             0.49209,            0.088064,             0.12404,            0.033524,            0.070773,             0.12389,            0.068837,             0.00736,             0.00736,             0.00736
                  82,            0.023916,            0.023291,           0.0016736,             0.12306,             0.12181,            0.096702,            0.024226,            0.071249,             0.12285,            0.069427,            0.007327,            0.007327,            0.007327
                  83,            0.023722,            0.023117,           0.0016701,             0.47321,            0.050091,            0.063525,            0.016646,            0.071101,             0.12346,            0.072118,            0.007294,            0.007294,            0.007294
                  84,            0.023902,            0.023367,           0.0016701,              0.2913,            0.066815,            0.064952,            0.014778,            0.070885,             0.12312,            0.075351,            0.007261,            0.007261,            0.007261
                  85,            0.023472,            0.023218,            0.001668,             0.48495,            0.035869,            0.043628,            0.013373,            0.069592,              0.1287,            0.070131,            0.007228,            0.007228,            0.007228
                  86,            0.023671,            0.022895,           0.0016812,             0.31778,            0.085281,            0.086762,            0.018609,            0.070921,             0.12095,            0.069825,            0.007195,            0.007195,            0.007195
                  87,            0.023247,            0.023608,           0.0016567,             0.32118,            0.037583,            0.043925,            0.012051,            0.070492,             0.12719,            0.069379,            0.007162,            0.007162,            0.007162
                  88,            0.023622,            0.023111,           0.0016918,             0.46411,            0.046371,            0.061744,             0.01426,            0.070592,             0.12498,            0.072871,            0.007129,            0.007129,            0.007129
                  89,            0.023661,            0.022851,           0.0016467,             0.48167,            0.052651,             0.08744,            0.020967,            0.069937,             0.12434,            0.074583,            0.007096,            0.007096,            0.007096
                  90,            0.023413,            0.022481,           0.0016263,             0.50106,            0.035248,            0.042207,            0.010368,            0.070575,             0.12737,            0.068951,            0.007063,            0.007063,            0.007063
                  91,            0.023049,               0.023,           0.0016338,             0.47803,            0.073656,              0.1002,            0.030744,            0.069755,             0.12786,            0.075283,             0.00703,             0.00703,             0.00703
                  92,            0.022698,            0.022554,           0.0015833,             0.44857,            0.094263,            0.085217,            0.020744,            0.071176,             0.12598,            0.073477,            0.006997,            0.006997,            0.006997
                  93,            0.023043,            0.022467,           0.0016221,             0.42082,            0.049944,            0.049651,            0.012646,            0.070679,             0.12743,            0.072744,            0.006964,            0.006964,            0.006964
                  94,            0.023092,            0.022979,           0.0015763,            0.036215,             0.14223,            0.047063,            0.010675,            0.070534,             0.12591,            0.071225,            0.006931,            0.006931,            0.006931
                  95,            0.022756,            0.022769,           0.0016031,             0.43418,            0.043297,            0.044258,            0.012407,            0.070691,             0.12719,            0.072217,            0.006898,            0.006898,            0.006898
                  96,            0.022939,            0.022697,           0.0015978,             0.33974,            0.059985,            0.096851,            0.023267,             0.06991,              0.1305,            0.075138,            0.006865,            0.006865,            0.006865
                  97,            0.022686,            0.022604,           0.0015745,             0.43344,            0.046468,            0.056069,            0.016025,            0.070559,             0.12846,            0.072937,            0.006832,            0.006832,            0.006832
                  98,            0.022704,            0.022187,           0.0015935,             0.29133,            0.051286,            0.054055,            0.011469,            0.070834,             0.12911,            0.070004,            0.006799,            0.006799,            0.006799
                  99,            0.022486,            0.022502,           0.0015926,             0.49045,            0.051413,            0.076537,            0.017523,            0.071634,             0.12426,            0.070273,            0.006766,            0.006766,            0.006766
                 100,            0.022883,            0.022597,           0.0016251,             0.48959,            0.042937,            0.052095,            0.013303,            0.069959,             0.12653,            0.070385,            0.006733,            0.006733,            0.006733
                 101,            0.022538,            0.022096,           0.0015596,             0.52333,            0.083526,             0.11701,            0.023145,            0.070487,             0.12554,            0.064863,              0.0067,              0.0067,              0.0067
                 102,            0.022328,             0.02243,           0.0015582,             0.37298,             0.14475,             0.16015,            0.033282,            0.070327,             0.12798,            0.069747,            0.006667,            0.006667,            0.006667
                 103,            0.022533,            0.022355,           0.0015426,             0.50854,            0.092154,             0.10575,            0.017093,            0.071231,             0.12681,            0.068914,            0.006634,            0.006634,            0.006634
                 104,            0.022429,            0.022078,           0.0014799,             0.37544,             0.12093,              0.1531,            0.027566,            0.071142,             0.12371,            0.068365,            0.006601,            0.006601,            0.006601
                 105,             0.02213,            0.022227,            0.001526,             0.32613,             0.10572,             0.11081,            0.020029,            0.071455,             0.12489,            0.074634,            0.006568,            0.006568,            0.006568
                 106,               0.022,             0.02207,           0.0015424,             0.50076,            0.064624,            0.083904,            0.016949,            0.071145,             0.12401,            0.070388,            0.006535,            0.006535,            0.006535
                 107,            0.022295,            0.022057,           0.0015572,             0.44593,             0.10642,            0.081611,            0.017625,             0.07127,             0.12661,            0.075146,            0.006502,            0.006502,            0.006502
