               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.022721,            0.021841,                   0,             0.82624,             0.48288,             0.62195,             0.35813,             0.04769,            0.087227,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.022765,            0.021498,                   0,             0.81359,             0.49293,             0.62774,             0.36353,            0.047561,            0.087058,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.022462,            0.021731,                   0,             0.83196,             0.51257,             0.65113,             0.37543,            0.046837,            0.082937,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.022294,            0.021463,                   0,             0.79905,             0.49587,             0.63211,             0.35798,            0.047348,            0.084317,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.022508,             0.02145,                   0,             0.79741,             0.49529,             0.62673,             0.35864,             0.04686,            0.086519,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.022348,            0.021667,                   0,             0.79116,             0.48784,             0.62467,             0.35534,            0.047357,            0.086386,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022074,            0.021697,                   0,             0.82546,             0.46497,             0.60766,              0.3562,            0.047975,             0.08981,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.02242,            0.021561,                   0,               0.807,             0.48118,             0.61832,             0.35542,            0.047869,            0.086584,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.022172,            0.021364,                   0,              0.8137,             0.48915,              0.6266,             0.36854,            0.047304,            0.086073,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.022241,            0.021182,                   0,             0.81584,             0.48876,             0.63046,             0.36507,            0.047465,            0.087142,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.021855,            0.021103,                   0,             0.82054,             0.49547,             0.62922,             0.36959,            0.046961,            0.087532,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.022112,            0.021106,                   0,             0.82031,             0.48516,             0.63056,             0.36112,            0.047458,             0.08884,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.02187,            0.020959,                   0,             0.82731,             0.50226,             0.64344,             0.37687,            0.047124,            0.086206,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.021873,            0.021307,                   0,             0.81839,             0.49856,             0.63805,             0.37606,            0.047128,            0.086955,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.021874,            0.020929,                   0,             0.82354,             0.49172,             0.63407,             0.36657,            0.046962,            0.087927,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.021727,            0.020701,                   0,              0.8287,             0.49264,             0.64527,             0.37308,            0.046972,            0.088622,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.021772,             0.02094,                   0,             0.82553,             0.48924,             0.64148,             0.37201,            0.048007,            0.087542,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.02163,            0.020541,                   0,             0.83579,             0.49974,             0.64385,             0.37146,             0.04795,            0.087068,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.021905,            0.020717,                   0,              0.8274,             0.48689,             0.63094,             0.36555,            0.047787,            0.087745,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.021664,            0.020903,                   0,             0.82827,             0.49744,             0.64336,             0.37898,            0.047391,            0.084599,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.021472,            0.020808,                   0,             0.84018,             0.48797,             0.62746,             0.37446,            0.047494,            0.088105,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.021505,            0.020727,                   0,             0.84806,             0.48153,             0.62848,             0.37418,            0.047342,            0.089141,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.021423,            0.020733,                   0,             0.84309,             0.48627,             0.63946,             0.37246,            0.047787,            0.087144,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.021643,            0.020539,                   0,             0.83562,             0.48974,             0.64631,             0.37807,            0.047357,             0.08772,                   0,            0.006337,            0.006337,            0.006337
                 113,             0.02125,            0.020607,                   0,             0.85031,             0.48993,             0.64326,             0.38315,            0.047329,            0.090393,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.021078,            0.020566,                   0,              0.8323,             0.48379,             0.62856,             0.37223,            0.047308,            0.091587,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.021274,            0.020405,                   0,              0.8386,             0.48405,             0.63104,             0.37386,            0.047137,             0.09057,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.02128,            0.020355,                   0,             0.82883,             0.48209,             0.62153,             0.36601,            0.047401,            0.089359,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.021001,            0.020307,                   0,             0.84004,             0.47917,             0.62278,             0.36893,             0.04744,            0.090857,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.020989,            0.020456,                   0,             0.83104,             0.48413,             0.62747,             0.36975,            0.047407,            0.088403,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.021062,            0.020289,                   0,             0.83057,             0.48895,             0.62517,             0.36932,            0.047183,            0.089669,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.021006,            0.020551,                   0,              0.8384,             0.49686,             0.64016,             0.37629,            0.047097,            0.089143,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.020857,            0.020106,                   0,             0.83079,             0.50061,             0.64055,             0.37906,            0.047201,            0.088498,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.020912,            0.020374,                   0,             0.82955,             0.49115,             0.63854,             0.37868,            0.046969,            0.089728,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.020899,            0.020103,                   0,             0.83674,             0.49856,             0.64676,             0.38144,            0.047321,            0.088177,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.021046,            0.020026,                   0,             0.83058,             0.51569,             0.64847,              0.3814,            0.047422,            0.087399,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020728,            0.019995,                   0,             0.82264,             0.50614,             0.64643,             0.38244,            0.047288,            0.086337,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.020916,            0.020177,                   0,             0.83707,             0.51512,             0.66018,             0.39399,            0.046764,            0.085867,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.020526,            0.019999,                   0,             0.83359,             0.50902,             0.65219,             0.38895,            0.046925,            0.086493,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.020699,            0.020057,                   0,             0.83541,             0.51952,             0.65873,             0.39211,            0.047027,            0.084496,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.020526,            0.019845,                   0,             0.84027,             0.51529,             0.65585,             0.39078,            0.047371,            0.085764,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.020527,            0.019674,                   0,             0.84587,             0.50693,             0.64938,             0.39024,            0.047438,            0.087036,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.020648,            0.020026,                   0,             0.86035,             0.50902,             0.65388,             0.39488,            0.047704,            0.087263,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.020637,            0.019895,                   0,             0.85849,              0.5107,             0.65892,             0.39419,            0.047603,             0.08658,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.020463,            0.019749,                   0,             0.85258,             0.50536,             0.65296,             0.38987,            0.047614,            0.087585,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.020459,            0.019964,                   0,             0.83714,             0.50461,             0.65157,               0.389,            0.047641,            0.086736,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.020122,            0.019725,                   0,              0.8309,             0.50035,              0.6507,             0.38759,            0.047469,            0.087572,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.020526,            0.019536,                   0,             0.84189,             0.50941,             0.65853,             0.39242,            0.047736,            0.086429,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.020212,            0.019706,                   0,             0.84762,             0.50899,             0.65829,             0.39401,            0.047773,            0.086985,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.020355,            0.019266,                   0,             0.84481,             0.51094,             0.66012,             0.39501,            0.047524,            0.086827,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.020242,            0.019795,                   0,             0.84669,             0.50941,             0.66212,              0.3929,            0.047369,            0.086153,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.020345,            0.019485,                   0,             0.85585,             0.50757,             0.66175,             0.39508,             0.04719,            0.086408,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.020039,            0.019621,                   0,             0.85976,             0.51569,             0.66933,             0.40053,            0.047141,            0.085646,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.020153,            0.019325,                   0,             0.85398,             0.51528,             0.66514,             0.39911,            0.047291,            0.086057,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.020047,             0.01946,                   0,             0.85751,             0.51686,             0.66669,             0.40188,            0.047431,            0.086347,                   0,            0.005314,            0.005314,            0.005314
